,playerId,squadId,firstName,lastName,displayName,position,price,gameWeekPoints,averagePoints,last3Average,bonusPoints,totalPoints,percentSelected,form,goals,assists,minutesPlayed,shotsOnTarget,chancesCreated,tackles,cleanSheet,saves,goalsConceded,yellowCards,redCards,ownGoals,penaltyMisses,penaltySaves,bonusPpm,dribbles,crosses,offsides,passCompletionRate,interceptions,blocks,foulsWon,foulsMade,goalsOutsideArea,errorsLeadingToGoal,averagePoints_per_price,totalPoints_per_price
252,612730,249,Imourane,Hassane,I. Hassane,MID,5.0,,1.4,0,1,20,0,,0,0,969,1,0,44,1,,0,3,1,0,0,0,207,3,0,0,74,15,6,5,23,0,0,0.27999999999999997,4.0
253,616492,490,Dircssi,Ngonzo,D. Ngonzo,DEF,4.0,,1.0,0,0,2,0,,0,0,9,0,0,2,0,,1,0,0,0,0,0,10,0,0,0,100,0,0,0,0,0,0,0.25,0.5
254,616497,490,Tim,Hottiger,T. Hottiger,GK,4.0,,0.0,0,0,0,0,,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
255,616936,1269,Lars,Villiger,L. Villiger,FWD,7.5,,3.0,0,13,115,0,,7,7,2078,17,8,16,0,,0,3,0,0,1,0,429,11,1,9,65,6,1,35,43,0,0,0.4,15.333333333333334
256,619777,481,Marvin,Akahomen,M. Akahomen,DEF,4.0,,0.5,0,0,1,0,,0,0,25,1,0,0,0,,0,1,0,0,0,0,3,0,0,0,94,0,0,0,1,0,0,0.125,0.25
257,619778,1269,Iwan,Hegglin,I. Hegglin,MID,4.5,,0.0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
258,620564,595,Cheveyo,Tsawa,C. Tsawa,MID,5.0,,2.9,0,6,47,0,,3,2,1000,7,2,24,3,,0,7,0,0,0,0,192,0,1,0,84,9,4,10,40,0,0,0.58,9.4
259,620565,453,Corsin,Konietzke,C. Konietzke,MID,5.5,,2.1,0,0,35,0,,0,2,857,3,4,35,3,,0,1,0,0,0,0,226,8,1,1,77,6,1,13,14,0,0,0.38181818181818183,6.363636363636363
260,620566,481,Junior,Zé,J. Zé,MID,4.0,,0.0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
261,620577,1963,Rhodri,Smith,R. Smith,DEF,4.5,,0.0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
